firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Albemarle Corporation,ALK,"? 17,30,00,000.00","? 13,10,00,000.00","? 3,30,00,000.00","? 31,20,00,000.00","? 57,30,00,000.00","? 57,30,00,000.00","? 2,90,00,000.00","? 4,20,00,000.00","? 79,70,00,000.00","? 1,37,00,00,000.00","? 1,10,90,00,000.00","? 13,10,00,000.00",41.99%,183.65%,-10.58%,24.28%
Albemarle Corporation,ALK,"? 64,30,00,000.00","? 44,70,00,000.00","? 1,80,00,000.00","? 21,30,00,000.00","? 44,90,00,000.00","? 44,90,00,000.00","? 3,10,00,000.00","? 19,60,00,000.00","? 80,80,00,000.00","? 1,25,70,00,000.00","? 1,02,10,00,000.00","? 44,70,00,000.00",209.86%,210.80%,-8.45%,30.48%
Alexandria Real Estate Equities,ARE,"? 12,44,33,000.00","? 10,31,47,000.00","? 3,79,31,000.00","? 38,48,55,000.00","? 13,60,82,000.00","? 13,60,82,000.00","? 3,56,78,000.00",? 0.00,"? 55,08,50,000.00","? 41,47,68,000.00","? 16,59,95,000.00","? 12,44,33,000.00",26.80%,35.36%,9.86%,17.11%
Alexandria Real Estate Equities,ARE,"? 40,45,20,000.00","? 38,50,84,000.00","? 3,78,80,000.00","? 36,82,73,000.00","? 14,03,41,000.00","? 14,03,41,000.00","? 3,51,58,000.00",? 0.00,"? 51,22,28,000.00","? 37,18,87,000.00","? 14,39,55,000.00","? 40,45,20,000.00",104.56%,38.11%,10.29%,4.80%
Alexandria Real Estate Equities,ARE,"? 2,55,33,000.00","? 81,21,000.00","? 3,39,96,000.00","? 34,54,98,000.00","? 13,05,89,000.00","? 13,05,89,000.00","? 3,64,67,000.00",? 0.00,"? 48,33,86,000.00","? 35,27,97,000.00","? 13,78,88,000.00","? 2,55,33,000.00",2.35%,37.80%,9.84%,68.19%
Alexandria Real Estate Equities,ARE,"? 45,71,33,000.00","? 44,14,84,000.00","? 3,26,90,000.00","? 33,05,46,000.00","? 12,01,06,000.00","? 12,01,06,000.00","? 3,75,38,000.00",? 0.00,"? 46,73,13,000.00","? 34,72,07,000.00","? 13,67,67,000.00","? 45,71,33,000.00",133.56%,36.34%,9.89%,3.42%
Align Technology,ALGN,"? 26,19,88,000.00","? 18,09,69,000.00","? 42,84,09,000.00","? 75,51,56,000.00","? 26,11,60,000.00","? 26,11,60,000.00",,"? 8,10,19,000.00","? 1,01,59,06,000.00","? 75,47,46,000.00","? 26,07,50,000.00","? 18,09,69,000.00",23.96%,34.58%,56.73%,30.92%
Align Technology,ALGN,"? 26,88,02,000.00","? 19,97,14,000.00","? 43,19,21,000.00","? 75,85,38,000.00","? 26,89,02,000.00","? 26,89,02,000.00",,"? 6,90,88,000.00","? 1,01,08,08,000.00","? 74,19,06,000.00","? 25,22,70,000.00","? 19,97,14,000.00",26.33%,35.45%,56.94%,25.70%
Align Technology,ALGN,"? 26,16,21,000.00","? 20,03,76,000.00","? 39,71,15,000.00","? 67,70,98,000.00","? 22,54,46,000.00","? 22,54,46,000.00",,"? 6,12,45,000.00","? 89,47,71,000.00","? 66,93,25,000.00","? 21,76,73,000.00","? 20,03,76,000.00",29.59%,33.30%,58.65%,23.41%
Align Technology,ALGN,"? 21,45,42,000.00","? 15,89,88,000.00","? 34,83,92,000.00","? 61,04,63,000.00","? 21,31,84,000.00","? 21,31,84,000.00",,"? 5,55,54,000.00","? 83,45,20,000.00","? 62,13,36,000.00","? 22,40,57,000.00","? 15,89,88,000.00",26.04%,34.92%,57.07%,25.89%
Allegion,ALLE,"? 14,08,00,000.00","? 14,35,00,000.00","? 16,00,00,000.00","? 30,05,00,000.00","? 14,05,00,000.00","? 14,05,00,000.00","? 1,23,00,000.00","? 28,00,000.00","? 71,70,00,000.00","? 57,65,00,000.00","? 41,65,00,000.00","? 14,36,00,000.00",47.75%,46.76%,53.24%,-1.92%
Allegion,ALLE,"? 13,62,00,000.00","? 11,87,00,000.00","? 17,31,00,000.00","? 32,05,00,000.00","? 14,74,00,000.00","? 14,74,00,000.00","? 1,24,00,000.00","? 1,74,00,000.00","? 74,69,00,000.00","? 59,95,00,000.00","? 42,64,00,000.00","? 11,88,00,000.00",37.04%,45.99%,54.01%,12.85%
Allegion,ALLE,"? 12,25,00,000.00","? 10,80,00,000.00","? 16,42,00,000.00","? 29,74,00,000.00","? 13,32,00,000.00","? 13,32,00,000.00","? 1,23,00,000.00","? 1,43,00,000.00","? 69,43,00,000.00","? 56,11,00,000.00","? 39,69,00,000.00","? 10,82,00,000.00",36.31%,44.79%,55.21%,11.84%
Allegion,ALLE,"? 10,58,00,000.00","? 9,33,00,000.00","? 15,66,00,000.00","? 32,07,00,000.00","? 16,41,00,000.00","? 16,41,00,000.00","? 1,23,00,000.00","? 1,24,00,000.00","? 72,73,00,000.00","? 56,32,00,000.00","? 40,66,00,000.00","? 9,34,00,000.00",29.09%,51.17%,48.83%,11.81%
Alliant Energy,LNT,"? 23,50,00,000.00","? 25,60,00,000.00",,"? 48,00,00,000.00","? 28,90,00,000.00","? 28,90,00,000.00","? 7,10,00,000.00","? 2,10,00,000.00","? 1,02,40,00,000.00","? 73,50,00,000.00","? 54,40,00,000.00","? 25,60,00,000.00",53.33%,60.21%,0.00%,-8.94%
Alliant Energy,LNT,"? 12,70,00,000.00","? 14,40,00,000.00",,"? 36,70,00,000.00","? 17,60,00,000.00","? 17,60,00,000.00","? 7,10,00,000.00","? 1,70,00,000.00","? 81,70,00,000.00","? 64,10,00,000.00","? 45,00,00,000.00","? 14,40,00,000.00",39.24%,47.96%,0.00%,-13.39%
Alliant Energy,LNT,"? 14,30,00,000.00","? 17,10,00,000.00",,"? 38,80,00,000.00","? 19,80,00,000.00","? 19,80,00,000.00","? 7,20,00,000.00","? 2,80,00,000.00","? 90,10,00,000.00","? 70,30,00,000.00","? 51,30,00,000.00","? 17,10,00,000.00",44.07%,51.03%,0.00%,-19.58%
Alliant Energy,LNT,"? 5,40,00,000.00","? 6,40,00,000.00","? 2,40,00,000.00","? 29,90,00,000.00","? 8,80,00,000.00","? 8,80,00,000.00","? 7,00,00,000.00","? 1,00,00,000.00","? 81,70,00,000.00","? 72,90,00,000.00","? 51,80,00,000.00","? 6,40,00,000.00",21.40%,29.43%,8.03%,-18.52%
Allstate Corp,ALL,"? 22,60,00,000.00","? 53,80,00,000.00","? 1,93,00,00,000.00","? 2,35,70,00,000.00","? 31,80,00,000.00","? 31,80,00,000.00","? 6,90,00,000.00","? 2,00,00,000.00","? 12,48,00,00,000.00","? 12,16,20,00,000.00","? 10,12,30,00,000.00","? 20,60,00,000.00",22.83%,13.49%,81.88%,-138.05%
Allstate Corp,ALL,"? 1,79,70,00,000.00","? 1,62,50,00,000.00","? 1,54,90,00,000.00","? 3,64,20,00,000.00","? 1,98,80,00,000.00","? 1,98,80,00,000.00","? 9,10,00,000.00","? 36,20,00,000.00","? 12,64,60,00,000.00","? 10,65,80,00,000.00","? 9,00,40,00,000.00","? 1,43,50,00,000.00",44.62%,54.59%,42.53%,9.57%
Allstate Corp,ALL,"? 3,03,20,00,000.00","? 1,38,10,00,000.00","? 1,39,90,00,000.00","? 4,64,30,00,000.00","? 3,19,10,00,000.00","? 3,19,10,00,000.00","? 8,60,00,000.00","? 62,60,00,000.00","? 12,45,10,00,000.00","? 9,26,00,00,000.00","? 7,80,80,00,000.00","? 2,40,60,00,000.00",-29.74%,68.73%,30.13%,145.55%
Allstate Corp,ALL,"? 3,31,00,00,000.00","? 2,62,40,00,000.00","? 1,13,10,00,000.00","? 4,59,00,00,000.00","? 3,42,90,00,000.00","? 3,42,90,00,000.00","? 8,00,00,000.00","? 68,60,00,000.00","? 12,01,80,00,000.00","? 8,58,90,00,000.00","? 7,42,80,00,000.00","? 2,62,40,00,000.00",57.17%,74.71%,24.64%,20.73%
Alphabet (Class A),GOOGL,"? 21,98,50,00,000.00","? 18,52,50,00,000.00","? 8,61,70,00,000.00","? 35,65,30,00,000.00","? 19,36,10,00,000.00","? 19,36,10,00,000.00","? 7,60,00,000.00","? 3,46,00,00,000.00","? 61,88,00,00,000.00","? 42,51,90,00,000.00","? 26,22,70,00,000.00","? 18,52,50,00,000.00",51.96%,54.30%,24.17%,15.74%
Alphabet (Class A),GOOGL,"? 21,28,30,00,000.00","? 17,93,00,00,000.00","? 7,28,90,00,000.00","? 31,21,10,00,000.00","? 16,43,70,00,000.00","? 16,43,70,00,000.00","? 7,60,00,000.00","? 3,35,30,00,000.00","? 55,31,40,00,000.00","? 38,87,70,00,000.00","? 24,10,30,00,000.00","? 17,93,00,00,000.00",57.45%,52.66%,23.35%,15.75%
Alphabet (Class A),GOOGL,"? 18,68,90,00,000.00","? 15,22,70,00,000.00","? 8,14,50,00,000.00","? 30,81,80,00,000.00","? 15,65,10,00,000.00","? 15,65,10,00,000.00","? 5,30,00,000.00","? 3,46,20,00,000.00","? 56,89,80,00,000.00","? 41,24,70,00,000.00","? 26,08,00,00,000.00","? 15,22,70,00,000.00",49.41%,50.79%,26.43%,18.52%
Alphabet (Class A),GOOGL,"? 13,35,90,00,000.00","? 11,24,70,00,000.00","? 6,98,70,00,000.00","? 25,05,60,00,000.00","? 11,21,30,00,000.00","? 11,21,30,00,000.00","? 4,80,00,000.00","? 2,11,20,00,000.00","? 46,17,30,00,000.00","? 34,96,00,00,000.00","? 21,11,70,00,000.00","? 11,24,70,00,000.00",44.89%,44.75%,27.89%,15.81%
Alphabet (Class C),GOOG,"? 21,98,50,00,000.00","? 18,52,50,00,000.00","? 8,61,70,00,000.00","? 35,65,30,00,000.00","? 19,36,10,00,000.00","? 19,36,10,00,000.00","? 7,60,00,000.00","? 3,46,00,00,000.00","? 61,88,00,00,000.00","? 42,51,90,00,000.00","? 26,22,70,00,000.00","? 18,52,50,00,000.00",51.96%,54.30%,24.17%,15.74%
Alphabet (Class C),GOOG,"? 21,28,30,00,000.00","? 17,93,00,00,000.00","? 7,28,90,00,000.00","? 31,21,10,00,000.00","? 16,43,70,00,000.00","? 16,43,70,00,000.00","? 7,60,00,000.00","? 3,35,30,00,000.00","? 55,31,40,00,000.00","? 38,87,70,00,000.00","? 24,10,30,00,000.00","? 17,93,00,00,000.00",57.45%,52.66%,23.35%,15.75%
Alphabet (Class C),GOOG,"? 18,68,90,00,000.00","? 15,22,70,00,000.00","? 8,14,50,00,000.00","? 30,81,80,00,000.00","? 15,65,10,00,000.00","? 15,65,10,00,000.00","? 5,30,00,000.00","? 3,46,20,00,000.00","? 56,89,80,00,000.00","? 41,24,70,00,000.00","? 26,08,00,00,000.00","? 15,22,70,00,000.00",49.41%,50.79%,26.43%,18.52%
Alphabet (Class C),GOOG,"? 13,35,90,00,000.00","? 11,24,70,00,000.00","? 6,98,70,00,000.00","? 25,05,60,00,000.00","? 11,21,30,00,000.00","? 11,21,30,00,000.00","? 4,80,00,000.00","? 2,11,20,00,000.00","? 46,17,30,00,000.00","? 34,96,00,00,000.00","? 21,11,70,00,000.00","? 11,24,70,00,000.00",44.89%,44.75%,27.89%,15.81%
Altria Group,MO,"? 2,90,90,00,000.00","? 2,14,90,00,000.00","? 49,20,00,000.00","? 3,73,20,00,000.00","? 3,24,00,00,000.00","? 3,24,00,00,000.00","? 29,70,00,000.00","? 75,90,00,000.00","? 5,61,40,00,000.00","? 2,37,40,00,000.00","? 1,88,20,00,000.00","? 2,15,00,00,000.00",57.58%,86.82%,13.18%,26.13%
Altria Group,MO,"? 1,93,70,00,000.00","? 1,42,40,00,000.00","? 46,70,00,000.00","? 3,27,30,00,000.00","? 2,80,60,00,000.00","? 2,80,60,00,000.00","? 31,30,00,000.00","? 51,60,00,000.00","? 4,88,00,00,000.00","? 2,07,40,00,000.00","? 1,60,70,00,000.00","? 1,42,10,00,000.00",43.51%,85.73%,14.27%,26.48%
Altria Group,MO,"? 2,54,10,00,000.00","? 1,92,40,00,000.00","? 43,40,00,000.00","? 3,16,60,00,000.00","? 2,73,20,00,000.00","? 2,73,20,00,000.00","? 33,60,00,000.00","? 61,90,00,000.00","? 5,05,50,00,000.00","? 2,32,30,00,000.00","? 1,88,90,00,000.00","? 1,92,20,00,000.00",60.77%,86.29%,13.71%,24.28%
Altria Group,MO,"? 32,40,00,000.00","? 95,20,00,000.00","? 52,00,00,000.00","? 3,71,80,00,000.00","? 3,19,80,00,000.00","? 3,19,80,00,000.00","? 31,80,00,000.00","? 63,20,00,000.00","? 5,67,80,00,000.00","? 2,48,00,00,000.00","? 1,96,00,00,000.00","? 95,60,00,000.00",-25.61%,86.01%,13.99%,-193.83%
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Amazon,AMZN,"? 6,90,00,00,000.00","? 6,33,10,00,000.00","? 23,44,90,00,000.00","? 39,03,90,00,000.00","? 6,19,40,00,000.00","? 6,19,40,00,000.00","? 42,80,00,000.00","? 56,90,00,000.00","? 96,14,50,00,000.00","? 89,95,10,00,000.00","? 57,10,60,00,000.00","? 6,33,10,00,000.00",16.22%,15.87%,60.07%,8.25%
Amcor,AMCR,"? 33,30,00,000.00","? 25,50,00,000.00","? 32,70,00,000.00","? 74,50,00,000.00","? 45,60,00,000.00","? 45,60,00,000.00","? 4,00,00,000.00","? 7,40,00,000.00","? 3,45,40,00,000.00","? 2,99,80,00,000.00","? 2,70,90,00,000.00","? 25,90,00,000.00",34.23%,61.21%,43.89%,23.42%
Amcor,AMCR,"? 34,10,00,000.00","? 26,70,00,000.00","? 32,10,00,000.00","? 68,20,00,000.00","? 35,00,00,000.00","? 35,00,00,000.00","? 3,60,00,000.00","? 7,10,00,000.00","? 3,20,70,00,000.00","? 2,85,70,00,000.00","? 2,52,50,00,000.00","? 27,00,00,000.00",39.15%,51.32%,47.07%,21.70%
Amcor,AMCR,"? 27,70,00,000.00","? 21,90,00,000.00","? 30,50,00,000.00","? 65,10,00,000.00","? 32,70,00,000.00","? 32,70,00,000.00","? 3,70,00,000.00","? 5,50,00,000.00","? 3,10,30,00,000.00","? 2,77,60,00,000.00","? 2,45,20,00,000.00","? 22,20,00,000.00",33.64%,50.23%,46.85%,20.94%
Amcor,AMCR,"? 26,10,00,000.00","? 19,80,00,000.00","? 32,60,00,000.00","? 65,40,00,000.00","? 30,50,00,000.00","? 30,50,00,000.00","? 4,40,00,000.00","? 6,10,00,000.00","? 3,09,70,00,000.00","? 2,79,20,00,000.00","? 2,44,30,00,000.00","? 20,00,00,000.00",30.28%,46.64%,49.85%,24.14%
Ameren Corp,AEE,"? 23,90,00,000.00","? 20,70,00,000.00","? 3,40,00,000.00","? 69,30,00,000.00","? 32,00,00,000.00","? 32,00,00,000.00","? 9,60,00,000.00","? 3,10,00,000.00","? 1,41,00,00,000.00","? 1,09,00,00,000.00","? 71,70,00,000.00","? 20,80,00,000.00",29.87%,46.18%,-4.91%,13.39%
Ameren Corp,AEE,"? 26,20,00,000.00","? 23,30,00,000.00","? 3,40,00,000.00","? 72,50,00,000.00","? 35,00,00,000.00","? 35,00,00,000.00","? 10,00,00,000.00","? 2,70,00,000.00","? 1,49,60,00,000.00","? 1,14,60,00,000.00","? 77,10,00,000.00","? 23,50,00,000.00",32.14%,48.28%,-4.69%,11.07%
Ameren Corp,AEE,"? 13,70,00,000.00","? 11,50,00,000.00","? 3,10,00,000.00","? 59,80,00,000.00","? 24,20,00,000.00","? 24,20,00,000.00","? 10,80,00,000.00","? 2,10,00,000.00","? 1,27,20,00,000.00","? 1,03,00,00,000.00","? 67,40,00,000.00","? 11,60,00,000.00",19.23%,40.47%,-5.18%,16.06%
Ameren Corp,AEE,"? 43,20,00,000.00","? 36,70,00,000.00","? 3,20,00,000.00","? 89,50,00,000.00","? 52,60,00,000.00","? 52,60,00,000.00","? 11,00,00,000.00","? 6,30,00,000.00","? 1,55,70,00,000.00","? 1,03,10,00,000.00","? 66,20,00,000.00","? 36,90,00,000.00",41.01%,58.77%,-3.58%,15.05%
American Airlines Group,AAL,"? 90,00,000.00","? 1,90,00,000.00","? 27,70,00,000.00","? 78,70,00,000.00","? 92,90,00,000.00","? 92,90,00,000.00","? 48,60,00,000.00","? 1,00,00,000.00","? 7,47,80,00,000.00","? 8,40,70,00,000.00","? 6,69,10,00,000.00","? 1,90,00,000.00",2.41%,-118.04%,35.20%,-111.11%
American Airlines Group,AAL,"? 1,57,30,00,000.00","? 1,25,00,00,000.00","? 15,10,00,000.00","? 1,80,60,00,000.00","? 3,15,10,00,000.00","? 3,15,10,00,000.00","? 37,10,00,000.00","? 32,30,00,000.00","? 4,00,80,00,000.00","? 7,15,90,00,000.00","? 5,81,40,00,000.00","? 1,25,00,00,000.00",69.21%,174.47%,-8.36%,20.53%
American Airlines Group,AAL,"? 2,80,90,00,000.00","? 2,17,80,00,000.00","? 9,50,00,000.00","? 92,30,00,000.00","? 2,06,60,00,000.00","? 2,06,60,00,000.00","? 37,60,00,000.00","? 63,10,00,000.00","? 4,02,80,00,000.00","? 6,09,40,00,000.00","? 4,95,10,00,000.00","? 2,17,80,00,000.00",235.97%,223.84%,-10.29%,22.46%
American Airlines Group,AAL,"? 3,09,50,00,000.00","? 2,39,90,00,000.00","? 7,00,00,000.00","? 2,48,90,00,000.00","? 3,71,60,00,000.00","? 3,71,60,00,000.00","? 34,00,00,000.00","? 69,60,00,000.00","? 3,17,30,00,000.00","? 6,88,90,00,000.00","? 5,66,20,00,000.00","? 2,39,90,00,000.00",96.38%,149.30%,-2.81%,22.49%
American Electric Power,AEP,"? 63,50,00,000.00","? 57,82,00,000.00","? 2,97,00,000.00","? 1,87,13,00,000.00","? 83,96,00,000.00","? 83,96,00,000.00","? 30,16,00,000.00","? 6,12,00,000.00","? 3,82,65,00,000.00","? 2,98,69,00,000.00","? 1,95,52,00,000.00","? 57,38,00,000.00",30.90%,44.87%,-1.59%,8.94%
American Electric Power,AEP,"? 63,33,00,000.00","? 57,50,00,000.00","? 2,96,00,000.00","? 1,85,31,00,000.00","? 83,99,00,000.00","? 83,99,00,000.00","? 29,02,00,000.00","? 5,45,00,000.00","? 4,28,11,00,000.00","? 3,44,12,00,000.00","? 2,42,80,00,000.00","? 57,88,00,000.00",31.03%,45.32%,-1.60%,9.21%
American Electric Power,AEP,"? 41,73,00,000.00","? 43,55,00,000.00","? 2,98,00,000.00","? 1,57,59,00,000.00","? 60,00,00,000.00","? 60,00,00,000.00","? 28,83,00,000.00","? 1,74,00,000.00","? 3,61,06,00,000.00","? 3,01,06,00,000.00","? 2,03,47,00,000.00","? 43,47,00,000.00",27.64%,38.07%,-1.89%,-4.36%
American Electric Power,AEP,"? 74,70,00,000.00","? 74,86,00,000.00","? 2,97,00,000.00","? 1,92,55,00,000.00","? 97,29,00,000.00","? 97,29,00,000.00","? 29,13,00,000.00","? 12,00,000.00","? 4,06,64,00,000.00","? 3,09,35,00,000.00","? 2,14,09,00,000.00","? 74,82,00,000.00",38.88%,50.53%,-1.54%,-0.21%
American Express,AXP,"? 2,94,00,00,000.00","? 2,28,00,00,000.00","? 3,75,80,00,000.00","? 7,70,50,00,000.00",? 0.00,"? 2,70,10,00,000.00",,"? 66,00,00,000.00","? 10,84,90,00,000.00","? 8,14,80,00,000.00","? 3,14,40,00,000.00","? 2,28,00,00,000.00",29.59%,0.00%,48.77%,22.45%
American Express,AXP,"? 2,99,30,00,000.00","? 2,23,50,00,000.00","? 3,31,60,00,000.00","? 7,17,90,00,000.00",? 0.00,"? 2,62,10,00,000.00",,"? 75,80,00,000.00","? 9,73,90,00,000.00","? 7,11,80,00,000.00","? 2,56,00,00,000.00","? 2,23,50,00,000.00",31.13%,0.00%,46.19%,25.33%
American Express,AXP,"? 1,85,80,00,000.00","? 1,43,80,00,000.00","? 3,60,10,00,000.00","? 6,85,90,00,000.00",? 0.00,"? 1,99,50,00,000.00",,"? 42,00,00,000.00","? 9,46,20,00,000.00","? 7,46,70,00,000.00","? 2,60,30,00,000.00","? 1,43,80,00,000.00",20.97%,0.00%,52.50%,22.60%
American Express,AXP,"? 1,36,40,00,000.00","? 1,07,30,00,000.00","? 3,23,00,00,000.00","? 5,82,30,00,000.00",? 0.00,"? 1,36,00,00,000.00",,"? 29,10,00,000.00","? 8,08,60,00,000.00","? 6,72,60,00,000.00","? 2,26,30,00,000.00","? 1,07,30,00,000.00",18.43%,0.00%,55.47%,21.33%
American International Group,AIG,"? 14,70,00,000.00","? 9,90,00,000.00","? 2,09,20,00,000.00","? 2,66,20,00,000.00","? 57,00,00,000.00","? 57,00,00,000.00","? 33,80,00,000.00","? 30,00,000.00","? 10,53,30,00,000.00","? 9,96,30,00,000.00","? 7,87,10,00,000.00","? 15,00,00,000.00",3.72%,21.41%,78.59%,32.65%
American International Group,AIG,"? 4,72,80,00,000.00","? 3,87,60,00,000.00","? 2,01,40,00,000.00","? 7,19,80,00,000.00","? 5,18,40,00,000.00","? 5,18,40,00,000.00","? 34,20,00,000.00","? 79,80,00,000.00","? 14,50,90,00,000.00","? 9,32,50,00,000.00","? 7,31,10,00,000.00","? 3,93,00,00,000.00",53.85%,72.02%,27.98%,18.02%
American International Group,AIG,"? 55,80,00,000.00","? 5,30,00,000.00","? 2,05,40,00,000.00","? 1,49,10,00,000.00","? 56,30,00,000.00","? 56,30,00,000.00","? 35,80,00,000.00","? 54,20,00,000.00","? 9,33,20,00,000.00","? 9,89,50,00,000.00","? 7,84,10,00,000.00","? 1,60,00,000.00",-3.55%,-37.76%,137.76%,90.50%
American International Group,AIG,"? 36,80,00,000.00","? 28,80,00,000.00","? 1,89,10,00,000.00","? 2,50,40,00,000.00","? 61,30,00,000.00","? 61,30,00,000.00","? 37,90,00,000.00","? 7,40,00,000.00","? 9,96,50,00,000.00","? 9,35,20,00,000.00","? 7,46,10,00,000.00","? 29,40,00,000.00",11.50%,24.48%,75.52%,21.74%
American Tower,AMT,"? 82,07,00,000.00","? 74,63,00,000.00","? 20,72,00,000.00","? 1,65,10,00,000.00","? 88,75,00,000.00","? 88,75,00,000.00","? 21,37,00,000.00","? 7,28,00,000.00","? 2,29,89,00,000.00","? 1,41,14,00,000.00","? 64,79,00,000.00","? 74,79,00,000.00",45.20%,53.76%,12.55%,9.07%
American Tower,AMT,"? 70,26,00,000.00","? 64,50,00,000.00","? 18,26,00,000.00","? 1,58,42,00,000.00","? 87,59,00,000.00","? 87,59,00,000.00","? 20,70,00,000.00","? 5,03,00,000.00","? 2,15,85,00,000.00","? 1,28,26,00,000.00","? 57,43,00,000.00","? 65,23,00,000.00",40.71%,55.29%,11.53%,8.20%
American Tower,AMT,"? 41,97,00,000.00","? 36,51,00,000.00","? 19,63,00,000.00","? 1,54,99,00,000.00","? 85,98,00,000.00","? 85,98,00,000.00","? 19,61,00,000.00","? 5,81,00,000.00","? 2,12,25,00,000.00","? 1,26,27,00,000.00","? 57,26,00,000.00","? 36,16,00,000.00",23.56%,55.47%,12.67%,13.01%
American Tower,AMT,"? 50,22,00,000.00","? 46,44,00,000.00","? 17,60,00,000.00","? 1,45,03,00,000.00","? 80,27,00,000.00","? 80,27,00,000.00","? 19,09,00,000.00","? 3,93,00,000.00","? 2,01,29,00,000.00","? 1,21,02,00,000.00","? 56,26,00,000.00","? 46,29,00,000.00",32.02%,55.35%,12.14%,7.53%
American Water Works,AWK,"? 25,10,00,000.00","? 20,70,00,000.00","? 1,90,00,000.00","? 56,80,00,000.00","? 34,90,00,000.00","? 34,90,00,000.00","? 10,10,00,000.00","? 4,40,00,000.00","? 99,90,00,000.00","? 65,00,00,000.00","? 43,10,00,000.00","? 20,70,00,000.00",36.44%,61.44%,-3.35%,17.53%
American Water Works,AWK,"? 15,50,00,000.00","? 13,30,00,000.00","? 2,00,00,000.00","? 46,90,00,000.00","? 24,90,00,000.00","? 24,90,00,000.00","? 9,80,00,000.00","? 2,20,00,000.00","? 88,80,00,000.00","? 63,90,00,000.00","? 41,90,00,000.00","? 13,30,00,000.00",28.36%,53.09%,-4.26%,14.19%
American Water Works,AWK,"? 18,10,00,000.00","? 14,50,00,000.00","? 1,20,00,000.00","? 49,40,00,000.00","? 27,50,00,000.00","? 27,50,00,000.00","? 9,90,00,000.00","? 3,60,00,000.00","? 92,30,00,000.00","? 64,80,00,000.00","? 42,90,00,000.00","? 14,50,00,000.00",29.35%,55.67%,-2.43%,19.89%
American Water Works,AWK,"? 35,20,00,000.00","? 26,40,00,000.00","? 1,20,00,000.00","? 66,00,00,000.00","? 44,50,00,000.00","? 44,50,00,000.00","? 9,90,00,000.00","? 8,80,00,000.00","? 1,07,90,00,000.00","? 63,40,00,000.00","? 41,90,00,000.00","? 26,40,00,000.00",40.00%,67.42%,-1.82%,25.00%
Ameriprise Financial,AMP,"? 72,10,00,000.00","? 59,10,00,000.00","? 82,30,00,000.00","? 1,72,00,00,000.00","? 89,70,00,000.00","? 89,70,00,000.00","? 16,90,00,000.00","? 13,00,00,000.00","? 3,42,00,00,000.00","? 2,52,30,00,000.00","? 1,70,00,00,000.00","? 59,10,00,000.00",34.36%,52.15%,47.85%,18.03%
Ameriprise Financial,AMP,"? 49,30,00,000.00","? 43,70,00,000.00","? 82,30,00,000.00","? 1,52,20,00,000.00","? 69,90,00,000.00","? 69,90,00,000.00","? 20,60,00,000.00","? 5,60,00,000.00","? 3,35,50,00,000.00","? 2,65,60,00,000.00","? 1,83,30,00,000.00","? 43,70,00,000.00",28.71%,45.93%,54.07%,11.36%
Ameriprise Financial,AMP,"? 19,00,00,000.00","? 17,70,00,000.00","? 82,80,00,000.00","? 1,18,30,00,000.00","? 35,50,00,000.00","? 35,50,00,000.00","? 16,50,00,000.00","? 1,30,00,000.00","? 3,18,90,00,000.00","? 2,83,40,00,000.00","? 2,00,60,00,000.00","? 17,70,00,000.00",14.96%,30.01%,69.99%,6.84%
Ameriprise Financial,AMP,"? 18,40,00,000.00","? 14,00,00,000.00","? 76,20,00,000.00","? 79,60,00,000.00","? 3,40,00,000.00","? 3,40,00,000.00","? 21,70,00,000.00","? 4,40,00,000.00","? 3,01,30,00,000.00","? 2,97,90,00,000.00","? 2,21,70,00,000.00","? 14,00,00,000.00",-17.59%,4.27%,95.73%,23.91%
AmerisourceBergen,ABC,"? 57,35,30,000.00","? 29,21,22,000.00","? 91,34,14,000.00","? 1,88,82,06,000.00","? 84,76,91,000.00","? 84,76,91,000.00","? 5,30,11,000.00","? 27,80,82,000.00","? 53,40,56,95,000.00","? 52,55,80,04,000.00","? 51,51,74,89,000.00","? 29,54,48,000.00",15.47%,44.89%,48.37%,49.07%
AmerisourceBergen,ABC,"? 56,65,11,000.00","? 43,52,67,000.00","? 73,00,81,000.00","? 1,53,33,81,000.00","? 70,25,03,000.00","? 70,25,03,000.00","? 3,51,84,000.00","? 13,25,06,000.00","? 49,15,41,71,000.00","? 48,45,16,68,000.00","? 47,62,07,90,000.00","? 43,40,05,000.00",28.39%,45.81%,47.61%,23.17%
AmerisourceBergen,ABC,"? 52,78,82,000.00","? 37,48,45,000.00","? 73,50,68,000.00","? 1,45,22,30,000.00","? 61,76,09,000.00","? 61,76,09,000.00","? 3,45,78,000.00","? 14,91,75,000.00","? 52,51,65,56,000.00","? 51,89,89,47,000.00","? 51,06,43,26,000.00","? 37,87,07,000.00",25.81%,42.53%,50.62%,28.99%
